rate_limit,success_rate,items_per_min,total_time,success_count,failed_count,error
10,0.92,70.81084989609816,77.95415544509888,92,8,
15,0.92,67.0085715911025,82.37752079963684,92,8,
20,0.92,79.6361067114205,69.31529211997986,92,8,
