object_id,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,objectName,title,culture,period,dynasty,reign,portfolio,constituents,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,department,classification,creditLine,rightsAndReproduction,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,linkResource,objectURL,objectWikidata_URL,metadataDate,repository,tags,isTimelineWork,GalleryNumber,image_downloaded
436462,436462,False,26.168.65,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257493.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257493.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436462,https://www.wikidata.org/wiki/Q19913783,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Children', 'Portraits']",False,,True
436463,436463,False,26.168.66,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257493.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257493.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436463,https://www.wikidata.org/wiki/Q19913785,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Girls', 'Portraits']",False,,True
436464,436464,False,26.168.67,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Portrait of a Man,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436464,https://www.wikidata.org/wiki/Q19913787,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Girls', 'Portraits', 'Women']",False,,True
436465,436465,False,26.168.68,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Caroline Maria Therese of Parma (1770–1804),,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436465,https://www.wikidata.org/wiki/Q19913790,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Boys', 'Girls', 'Men', 'Portraits', 'Women']",False,,True
436466,436466,False,26.168.69,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436466,https://www.wikidata.org/wiki/Q19913793,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Children', 'Portraits']",False,,True
436467,436467,False,26.168.70,1926,True,https://images.metmuseum.org/CRDImages/ep/original/257481.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/257481.jpg,[],"Painting, miniature",Portrait of a Child,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1790–1800,,German Painter,German,,,,,,,1790,1800,Ivory,"Octagonal, 1 1/8 x 3/4 in. (29 x 19 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 2.9, 'Width': 1.9}}]",European Paintings,Miniatures,"Bequest of Collis P. Huntington, 1900",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436467,https://www.wikidata.org/wiki/Q19913796,2024-10-04T04:54:16Z,"Metropolitan Museum of Art, New York, NY","['Children', 'Portraits']",False,,True
436469,436469,False,62.122.129,1962,True,https://images.metmuseum.org/CRDImages/ep/original/175456.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/175456.jpg,[],"Painting, miniature",Portrait of a Woman,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1810,,German Painter,German,,,,,,,1805,1815,Ivory,"Oval, 2 1/4 x 1 7/8 in. (59 x 49 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 5.7, 'Width': 4.8}}]",European Paintings,Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436469,https://www.wikidata.org/wiki/Q19914085,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY","['Portraits', 'Women']",False,,True
436470,436470,False,62.122.118,1962,True,https://images.metmuseum.org/CRDImages/ep/original/175445.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/175445.jpg,[],"Painting, miniature",Portrait of a Man,,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1810,,German Painter,German,,,,,,,1805,1815,Ivory,"Oval, 2 1/4 x 1 7/8 in. (59 x 49 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 5.7, 'Width': 4.8}}]",European Paintings,Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436470,https://www.wikidata.org/wiki/Q19914087,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Portraits']",False,,True
436471,436471,False,15.43.307,1915,True,https://images.metmuseum.org/CRDImages/ep/original/259953.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/259953.jpg,[],"Painting, miniature","Portrait of a Man, Said to Be Alexander von Humboldt (1769–1859)",,,,,,"[{'constituentID': 127868, 'role': 'Artist', 'name': 'German Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,,German Painter,ca. 1815,,German Painter,German,,,,,,,1810,1820,Ivory,"Oval, 2 1/2 x 2 in. (64 x 52 mm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 6.3, 'Width': 5.1}}]",European Paintings,Miniatures,"Bequest of Mary Anna Palmer Draper, 1914",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436471,https://www.wikidata.org/wiki/Q19914088,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Portraits']",False,,True
436472,436472,False,32.100.99,1932,True,https://images.metmuseum.org/CRDImages/ep/original/DP164822.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP164822.jpg,[],Painting,Portrait of a Man in Profile,,,,,,"[{'constituentID': 126929, 'role': 'Artist', 'name': '? Italian Painter', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",Artist,?,Italian Painter,ca. 1525,,Italian Painter,Italian,,,,,,,1520,1530,Oil on wood,13 1/4 x 10 1/2 in. (33.7 x 26.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 33.7, 'Width': 26.7}}]",European Paintings,Paintings,"The Friedsam Collection, Bequest of Michael Friedsam, 1931",,,,,,,,,,,,,,https://www.metmuseum.org/art/collection/search/436472,https://www.wikidata.org/wiki/Q19913061,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY","['Men', 'Portraits', 'Profiles']",False,,True
